x(m)           y(m)           x(m)           lat(degs)      lon(degs)      heading(rads)  pitch(rads)    roll(rads)     
-71447.50000   9900.00000     1200.00000     33.58661       35.22805       1.57080        0.00000        0.00000        
-71212.50000   9900.00000     1200.00000     33.58663       35.23058       1.57080        0.00000        0.00000        
-70977.50000   9900.00000     1200.00000     33.58665       35.23311       1.57080        0.00000        0.00000        
-70742.50000   9900.00000     1200.00000     33.58666       35.23564       1.57080        0.00000        0.00000        
-70507.50000   9900.00000     1200.00000     33.58668       35.23817       1.57080        0.00000        0.00000        
-70272.50000   9900.00000     1200.00000     33.58669       35.24070       1.57080        0.00000        0.00000        
-70037.50000   9900.00000     1200.00000     33.58671       35.24323       1.57080        0.00000        0.00000        
-69802.50000   9900.00000     1200.00000     33.58672       35.24576       1.57080        0.00000        0.00000        
-69567.50000   9900.00000     1200.00000     33.58674       35.24830       1.57080        0.00000        0.00000        
-69332.50000   9900.00000     1200.00000     33.58675       35.25083       1.57080        0.00000        0.00000        
-69097.50000   9900.00000     1200.00000     33.58677       35.25336       1.57080        0.00000        0.00000        
-68862.50000   9900.00000     1200.00000     33.58678       35.25589       1.57080        0.00000        0.00000        
-68627.50000   9900.00000     1200.00000     33.58680       35.25842       1.57080        0.00000        0.00000        
-68392.50000   9900.00000     1200.00000     33.58681       35.26095       1.57080        0.00000        0.00000        
-68157.50000   9900.00000     1200.00000     33.58683       35.26348       1.57080        0.00000        0.00000        
-67922.50000   9900.00000     1200.00000     33.58684       35.26601       1.57080        0.00000        0.00000        
-67687.50000   9900.00000     1200.00000     33.58686       35.26854       1.57080        0.00000        0.00000        
-67452.50000   9900.00000     1200.00000     33.58687       35.27107       1.57080        0.00000        0.00000        
-67217.50000   9900.00000     1200.00000     33.58689       35.27360       1.57080        0.00000        0.00000        
-66982.50000   9900.00000     1200.00000     33.58690       35.27613       1.57080        0.00000        0.00000        
-66747.50000   9900.00000     1200.00000     33.58692       35.27866       1.57080        0.00000        0.00000        
-66512.50000   9900.00000     1200.00000     33.58693       35.28119       1.57080        0.00000        0.00000        
-66277.50000   9900.00000     1200.00000     33.58695       35.28373       1.57080        0.00000        0.00000        
-66042.50000   9900.00000     1200.00000     33.58696       35.28626       1.57080        0.00000        0.00000        
-65807.50000   9900.00000     1200.00000     33.58698       35.28879       1.57080        0.00000        0.00000        
-65572.50000   9900.00000     1200.00000     33.58699       35.29132       1.57080        0.00000        0.00000        
-65337.50000   9900.00000     1200.00000     33.58701       35.29385       1.57080        0.00000        0.00000        
-65102.50000   9900.00000     1200.00000     33.58702       35.29638       1.57080        0.00000        0.00000        
-64867.50000   9900.00000     1200.00000     33.58703       35.29891       1.57080        0.00000        0.00000        
-64632.50000   9900.00000     1200.00000     33.58705       35.30144       1.57080        0.00000        0.00000        
-64397.50000   9900.00000     1200.00000     33.58706       35.30397       1.57080        0.00000        0.00000        
-64162.50000   9900.00000     1200.00000     33.58708       35.30650       1.57080        0.00000        0.00000        
-63927.50000   9900.00000     1200.00000     33.58709       35.30903       1.57080        0.00000        0.00000        
-63692.50000   9900.00000     1200.00000     33.58710       35.31156       1.57080        0.00000        0.00000        
-63457.50000   9900.00000     1200.00000     33.58712       35.31409       1.57080        0.00000        0.00000        
-63222.50000   9900.00000     1200.00000     33.58713       35.31662       1.57080        0.00000        0.00000        
-62987.50000   9900.00000     1200.00000     33.58715       35.31916       1.57080        0.00000        0.00000        
-62752.50000   9900.00000     1200.00000     33.58716       35.32169       1.57080        0.00000        0.00000        
-62517.50000   9900.00000     1200.00000     33.58717       35.32422       1.57080        0.00000        0.00000        
-62282.50000   9900.00000     1200.00000     33.58719       35.32675       1.57080        0.00000        0.00000        
-62047.50000   9900.00000     1200.00000     33.58720       35.32928       1.57080        0.00000        0.00000        
-61812.50000   9900.00000     1200.00000     33.58722       35.33181       1.57080        0.00000        0.00000        
-61577.50000   9900.00000     1200.00000     33.58723       35.33434       1.57080        0.00000        0.00000        
-61342.50000   9900.00000     1200.00000     33.58724       35.33687       1.57080        0.00000        0.00000        
-61107.50000   9900.00000     1200.00000     33.58726       35.33940       1.57080        0.00000        0.00000        
-60872.50000   9900.00000     1200.00000     33.58727       35.34193       1.57080        0.00000        0.00000        
-60637.50000   9900.00000     1200.00000     33.58728       35.34446       1.57080        0.00000        0.00000        
-60402.50000   9900.00000     1200.00000     33.58730       35.34699       1.57080        0.00000        0.00000        
-60167.50000   9900.00000     1200.00000     33.58731       35.34952       1.57080        0.00000        0.00000        
-59932.50000   9900.00000     1200.00000     33.58732       35.35206       1.57080        0.00000        0.00000        
-59697.50000   9900.00000     1200.00000     33.58734       35.35459       1.57080        0.00000        0.00000        
-59462.50000   9900.00000     1200.00000     33.58735       35.35712       1.57080        0.00000        0.00000        
-59227.50000   9900.00000     1200.00000     33.58736       35.35965       1.57080        0.00000        0.00000        
